,Tên tiếng việt,Ngành tiếng việt,Tên tiếng anh,Work/ Life Balance,Career Opportunity,Avg Salary,Skill,Group
31,Kĩ sư hoá học,Kỹ thuật,Chemical Engineer,2,2,1,"[3.75, 3.38, 4.12,  3.0,  4.0,  1.0, 2.12,  1.0,  3.0, 3.88, 2.88,  2.5, 2.62,
 2.75, 3.88, 3.25,  3.0, 2.25, 3.62, 3.12,  3.0, 2.38, 2.88, 3.88,  1.0, 4.25,
 2.88,  3.0, 3.62, 3.88, 3.75, 2.75,  3.0,  3.0, 3.25]",23
32,Kĩ sư khai thác dầu khí,Kỹ thuật,Petroleum Engineer,0,1,1,"[3.75, 3.88, 3.88, 3.62,  4.0, 1.12, 1.88, 1.75,  3.0, 3.88,  3.0,  2.5, 2.75,
 2.88, 3.25, 3.75, 2.88, 2.12, 2.25, 2.88,  3.0, 1.88, 2.62,  4.0,  1.0, 3.38,
  3.0, 3.62, 3.88, 3.88, 3.88, 2.25, 3.62, 2.25, 3.88]",4
33,Kĩ sư mỏ,Kỹ thuật,Mining Engineer ,1,1,1,"[ 3.5, 3.88, 4.12,  3.5,  4.0,  1.0, 2.25,  1.0, 3.12,  4.0, 3.12, 2.88,  3.0,
  3.0, 3.75, 3.75, 2.88,  2.0, 3.12,  3.0, 2.88, 2.62, 2.88,  4.0,  1.0,  3.5,
 2.62, 2.88,  4.0, 3.75, 3.75,  2.5, 3.38, 1.88,  4.0]",11
34,Kĩ sư và kĩ thuật viên âm thanh,Kỹ thuật,Sound Engineer,2,2,1,"[3.12, 3.75, 3.25,  3.0, 3.25, 2.62,  2.5,  1.5, 2.75, 3.12, 2.75, 1.75,  2.0,
  2.5, 2.12, 3.12, 2.62,  3.0, 1.38, 3.12, 2.75, 1.75, 2.88, 3.38,  2.5, 1.38,
 2.88,  3.0, 3.62,  3.0,  3.0,  2.0,  3.0, 2.75, 3.25]",23
35,"Kĩ sư vũ trụ, hàng không",Kỹ thuật,Aerospace/Aeronautical Engineer,2,2,2,"[3.62, 3.88, 3.88, 3.25, 4.12,  1.0, 1.25,  1.0,  3.0, 3.75, 3.38, 1.88, 1.75,
 2.75, 3.88, 3.75,  3.0, 1.25, 3.88, 2.88, 3.12, 2.12, 3.25,  4.0,  1.0,  4.0,
 2.88,  3.0, 3.88, 3.38,  3.5, 3.25, 3.25,  2.0, 3.88]",24
36,Kĩ sư vật liệu,Kỹ thuật,Materials Engineer,2,2,1,"[3.25,  4.0,  4.0,  3.0, 3.88,  1.5,  2.0,  1.0, 3.12, 3.25,  3.0, 2.12, 2.62,
  3.0, 3.75, 3.12,  3.0, 2.25, 3.12,  3.0,  3.0, 1.88, 3.12,  4.0,  1.5,  4.0,
 3.12,  3.0, 3.75, 3.12,  3.0, 2.62,  3.0, 2.25, 3.75]",23
37,Kĩ sư xây dựng,Kiến trúc và xây dựng,Civil Engineer,1,2,1,"[3.25,  4.0, 3.88, 3.12, 3.88,  1.5, 1.25,  1.0,  3.0, 3.38, 2.88, 2.88, 2.88,
  3.0, 3.88, 3.25,  3.0, 1.38, 3.62, 2.12,  3.0, 1.88, 2.25, 3.88, 1.62, 3.75,
  3.0,  3.0, 3.88, 3.75, 3.12, 2.25, 3.75,  1.5, 3.25]",14
38,Kĩ sư y sinh,Khoa học sự sống,Biomedical Engineer,2,2,1,"[3.62, 4.12, 4.12, 3.25, 4.25, 2.25,  2.5, 2.88, 3.25, 4.12, 3.12, 2.25, 2.62,
 3.12, 3.75, 3.75, 3.12,  2.0, 3.75, 2.88, 3.12,  3.0, 3.12, 4.12, 2.62, 3.88,
 3.12, 3.12, 3.88, 3.75, 3.75, 3.25, 3.25, 2.75, 3.75]",23
39,Kĩ sư ô tô,Kỹ thuật,Automotive Engineers,1,1,0,"[3.38, 3.75, 4.12,  3.5, 4.12,  1.0, 1.88,  1.0,  3.0, 3.88, 2.88,  2.0,  2.0,
  3.0, 3.88, 3.12,  3.0, 2.12, 3.75, 2.88, 3.12, 2.75,  3.0,  4.0,  1.0, 3.25,
 2.88,  3.0, 3.88, 3.75, 3.75, 3.12, 3.25,  2.0, 3.88]",10
40,Kĩ sư điện,Kỹ thuật,Electrical Engineer,2,2,1,"[ 3.5, 3.88, 3.88,  3.0, 3.88,  2.0,  2.0, 1.12,  3.0, 3.12, 2.88, 2.25, 2.25,
  3.0, 3.25,  3.5,  3.0, 1.12, 3.25, 2.88,  3.0,  2.0, 2.88, 3.88, 2.12, 3.12,
 2.88, 3.12, 3.75, 3.12, 3.25, 2.25, 3.12, 2.88, 3.88]",23
