,Tên tiếng việt,Tên tiếng anh,Ngành tiếng việt,Mô tả,Ví dụ về nơi làm việc,Work/ Life Balance,Career Opportunity,Avg Salary,Skill,O*NET-SOC Code,Group
82,Lễ tân,Receptionists,,"Lễ tân là người tiếp xúc, đón tiếp khách đến làm việc, tiếp nhận và xử lí thông tin ban đầu, hỗ trợ các hoạt động của cơ quan với khách hàng.","• Các nhà hàng, khách sạn • Các khu du lịch, nghỉ dưỡng, resort • Các khu vui chơi, giải trí • Các cơ quan, công sở, công ty, tập đoàn • Các tổ chức xã hội, nghề nghiệp",1,0,0,"[ 3.0, 3.62,  2.5, 3.12, 3.25,  1.0,  1.0,  1.0, 2.75, 2.38, 2.38, 1.75,  1.5, 
 2.25, 2.12, 2.75, 2.38,  1.0, 1.12, 1.38,  2.5, 1.38, 1.75, 3.25,  1.0,  1.0, 
  3.5, 3.12, 3.62, 2.38, 2.25, 1.38, 2.88, 1.38, 3.25]",43-4171.00,6
83,Nhân viên văn phòng,Office clerk,Kinh doanh và Quản lý,"Nhân viên văn phòng làm việc trong lĩnh vực hành chính văn phòng, thực hiện các công việc thuộc hành chính của các cơ quan, tổ chức, công ty…","• Các cơ quan, công sở, công ty, tập đoàn • Các tổ chức xã hội, nghề nghiệp • Các đơn vị sản xuất • Các khu du lịch, khách sạn…",1,0,0,"[2.75, 3.75, 2.62,  3.0,  3.0,  1.0,  1.0,  1.0, 2.75, 2.75, 2.12, 1.62, 1.88, 
 2.12, 2.12, 2.88, 2.62, 1.38, 1.12, 2.12, 2.62, 1.25, 1.75, 3.75,  1.0,  1.0, 
  3.0,  3.0, 3.62,  2.0,  2.0, 1.38,  3.0,  1.5, 3.12]",43-9061.00,6
84,Kĩ sư bảo dưỡng máy bay,Aircraft Maintenance Engineer,Kỹ thuật,"Các kĩ sư bảo dưỡng máy bay đảm bảo máy bay đủ điều kiện hoạt động. Họ chỉ đạo, giám sát và thực hiện việc bảo trì, sửa chữa và đại tu kết cấu và động cơ máy bay.",• Các sân bay dân sự và quân sự • Các công ty bảo trì/bảo dưỡng hàng không • Các hãng hàng không • Các đơn vị thiết kế công trình hàng không,0,1,1,"[ 3.0, 3.25, 3.88,  3.0, 3.88, 4.25, 3.25, 2.38,  3.0, 3.25, 2.62,  1.5, 2.12, 
 2.62, 2.25, 3.38, 2.38, 3.38, 2.12, 4.12, 2.88,  1.5, 3.88, 3.75, 4.25,  2.5, 
  3.0,  3.0, 3.38, 3.12,  3.0,  2.0,  3.0, 4.12, 2.88] ",49-3011.00,4
85,Kĩ sư mỏ,Mining Engineer,Kỹ thuật,"Kĩ sư mỏ áp dụng các nguyên tắc vật lí, địa chất và hóa học để thăm dò, khai thác và chế biến khoáng sản thiên nhiên. Về bản chất, hoạt động khai thác này gây ra sự xáo trộn môi trường trong và xung quanh khu vực có khoáng sản. Do đó, kĩ sư mỏ ngày nay không phải chỉ chú ý về phương diện khai thác và chế biến khoáng sản mà còn phải quan tâm tới vấn đề giảm nhẹ thiệt hại hoặc ảnh hưởng xấu gây ra cho môi trường",• Các doanh nghiệp khai thác mỏ • Các công ty tư vấn kĩ thuật tư nhân • Các trung tâm nghiên cứu • Các trường đại học • Các cơ quan Nhà nước,1,1,1,"[ 3.5, 3.88, 4.12,  3.5,  4.0,  1.0, 2.25,  1.0, 3.12,  4.0, 3.12, 2.88,  3.0, 
  3.0, 3.75, 3.75, 2.88,  2.0, 3.12,  3.0, 2.88, 2.62, 2.88,  4.0,  1.0,  3.5, 
 2.62, 2.88,  4.0, 3.75, 3.75,  2.5, 3.38, 1.88,  4.0]",17-2151.00,10
86,Kĩ sư khai thác dầu khí,Petroleum Engineer,Kỹ thuật,"Kĩ sư khai thác dầu khí ứng dụng các nguyên tắc vật lí, địa chất và hóa học để phát hiện và khai thác dầu và khí từ các mỏ dầu khí dưới lòng đất và dưới biển.","• Các doanh nghiệp dầu khí Nhà nước và tư nhân • Các trung tâm, viện nghiên cứu • Giảng dạy tại các trường đại học, cao đẳng, trung học • Các cơ quan Nhà nước quản lí ngành dầu khí • Các công ty tư vấn kĩ thuật",0,1,1,"[3.75, 3.88, 3.88, 3.62,  4.0, 1.12, 1.88, 1.75,  3.0, 3.88,  3.0,  2.5, 2.75, 
 2.88, 3.25, 3.75, 2.88, 2.12, 2.25, 2.88,  3.0, 1.88, 2.62,  4.0,  1.0, 3.38, 
  3.0, 3.62, 3.88, 3.88, 3.88, 2.25, 3.62, 2.25, 3.88]",17-2171.00,4
87,Kĩ thuật viên chỉnh hình và phục hình,Orthotist and Prosthetist,Chăm sóc sức khỏe,"Kĩ thuật viên chỉnh hình và phục hình phục vụ, chăm sóc bệnh nhân khuyết tật ở các bộ phận chân, tay, cột sống hay bị mất một phần hoặc toàn bộ chân, tay bằng cách lắp và chuẩn bị trụ chống chỉnh hình, chân, tay giả theo chỉ đạo, ý kiến của bác sĩ.",• Các trung tâm phục hồi chức năng • Bệnh viện • Các trung tâm chẩn đoán • Phòng khám đa khoa,1,1,2,"[3.75,  4.0, 3.88, 3.25,  4.0, 1.75, 2.25,  1.0,  3.0, 3.25,  3.0, 1.62,  2.0, 
  2.5,  3.0, 3.25, 2.62, 2.25, 3.12,  3.0,  3.0, 1.62,  3.0, 4.12,  2.0, 2.75, 
 3.88, 3.75,  4.0,  3.0,  3.0,  3.0,  3.0, 2.12,  4.0]",29-2091.00,11
88,Kĩ thuật viên cơ điện tử,Mechatronics Technician,Kỹ thuật,"Kĩ thuật viên cơ - điện tử làm việc trong một lĩnh vực liên quan tới nhiều ngành nghề kĩ thuật như kĩ thuật cơ khí, kĩ thuật điện, kĩ thuật điều khiển và kĩ thuật máy tính. Sáng tạo robot là một ví dụ về công việc trong lĩnh vực cơ điện tử.","• Các công ty kĩ thuật • Các doanh nghiệp tham gia vào việc nghiên cứu, thiết kế và sản xuất robot, sản xuất tự động hóa, thị giác máy tính và các kĩ thuật kiểm tra tự động • Bộ phận nghiên cứu và thiết kế của các doanh nghiệp ô tô",0,0,0,"[3.12, 3.12, 3.25,  3.0, 3.62, 3.12, 3.12, 3.12, 2.88, 3.38, 2.88, 1.75,  2.0, 
 2.75, 2.88, 3.75,  2.0,  3.5, 2.25,  4.0,  2.0,  2.5, 3.62, 3.25, 3.75, 2.75, 
 2.25, 2.88, 3.12, 3.12, 3.12, 2.12,  3.0, 3.88, 3.12]",17-3024.00,0
89,Kỹ thuật viên kĩ thuật xây dựng,Civil Engineering Technician,Kiến trúc và xây dựng,"Cán bộ kĩ thuật xây dựng thực hiện các nhiệm vụ kĩ thuật trong nghiên cứu kĩ thuật dân dụng, thiết kế, xây dựng, thực hiện, duy tu và sửa chữa các nhà cao tầng và các công trình xây dựng khác như cung cấp nước, hệ thống xử lí nước thải, cầu, đường, đập nước và sân bay.","• Các công ty xây dựng • Các phòng quản lí nhà đất - đô thị quận, huyện, phường, xã hoặc các ban dự án xây dựng công trình • Tự kinh doanh độc lập",1,2,0,"[2.88, 3.75, 3.12,  3.0, 3.88,  1.0, 1.12,  1.0, 2.38, 3.12, 2.25, 2.12, 2.12, 
 2.25, 3.62, 3.25,  2.5, 2.12, 2.62, 2.38,  2.5, 1.88, 2.12, 3.75,  1.0, 2.75, 
 2.75, 2.88, 3.38, 2.88, 2.75, 1.75, 2.88, 1.75, 3.25]",17-3022.00,12
90,Kỹ thuật viên kĩ thuật điện trong phát và truyền tải điện,Electrical Engineering Technician and Operator,Kỹ thuật,"Cán bộ kĩ thuật điện trong phát và truyền tải điện làm công việc vận hành bảng điều khiển và máy móc thiết bị của nhà máy phát điện và các công ty truyền tải, hoặc sửa chữa bảo dưỡng phần điện của nhà máy, trạm, đường dây.",• Tất cả các nhà máy phát điện • Tất cả công ty truyền tải điện,1,2,0,"[3.12, 3.38,  3.5, 3.03, 3.69, 2.94, 2.66, 1.97, 2.84, 3.16, 2.69, 2.03, 2.12, 
 2.59, 3.19, 3.19, 2.38, 2.78,  2.5, 3.18, 2.63, 2.19, 3.09, 3.56, 2.94, 2.72, 
 2.69, 2.84, 3.25, 3.12, 2.97, 2.46, 3.06, 3.28, 3.12]",17-3023.03,12
91,Kỹ sư phần cứng,Hardware Engineer,Máy tính và Công nghệ thông tin,,,2,2,2,"[3.75, 3.88, 3.88, 3.12,  4.0, 2.12,  2.5, 1.88,  3.0, 3.62, 2.88, 1.75, 1.88, 
 2.62, 3.25, 3.12, 2.25, 1.75, 3.38,  3.0, 2.62,  2.5, 2.88,  4.0, 2.12, 2.88, 
 2.62, 2.75, 3.88, 3.38, 3.38, 2.62, 3.12, 2.62, 3.88]",17-2061.00,22
92,"Kĩ thuật viên cơ khí trong sản xuất, lắp ráp và sửa chữa","Mechanical Engineering Technicians (Manufacture, Assembly and Repair)",Kỹ thuật,"Kĩ thuật viên cơ khí trong sản xuất, lắp ráp và sửa chữa ",• Tất cả ngành công nghiệp • Các doanh nghiệp cung cấp các loại máy móc thiết bị khác nhau cho công nghiệp và gia dụng • Mở xưởng cơ khí sửa chữa riêng,1,1,0,"[3.12, 3.75, 3.62,  3.0, 3.75, 2.62, 2.75, 1.38, 2.75, 3.38, 2.75, 1.88,  2.0, 
 2.62, 3.25, 3.12, 2.75,  3.0, 2.62,  3.5,  3.0,  2.0, 3.25, 3.75, 2.62,  3.0, 
 2.88,  3.0, 3.62, 3.25, 3.12, 2.38, 3.12, 2.88,  3.5]",17-3027.00,9
93,Phi công,Pilot,,"Phi công phương tiện bay và kĩ thuật viên hỗ trợ liên quan kiểm soát hoạt động của các thiết bị cơ khí, điện và điện tử để điều khiển phương tiện bay vận chuyển hành khách, thư tín, hàng hóa và thực hiện các nhiệm vụ trước và trong khi bay.","• Quân đội • Các hãng hàng không dân dụng • Các công ty bay dịch vụ • Các tổ chức, cá nhân có máy bay riêng",1,2,2,"[ 3.5, 3.79, 3.46, 3.42, 3.83, 2.16, 1.58, 1.13, 3.04, 3.71, 3.04, 1.91, 2.17, 
 2.96, 2.75, 3.87, 2.63, 4.37, 1.83, 4.04, 2.83, 1.67, 2.95, 3.58, 1.79,  2.5, 
 2.88, 3.12, 3.62, 3.04, 2.83, 1.75, 3.33,  3.0, 3.04]",53-2012.00,14
94,Kiểm soát viên không lưu,Air Traffic Controller,,"Kiểm soát viên không lưu, còn gọi là kiểm soát viên giao thông đường hàng không, hướng dẫn hướng bay trên không trung, và dưới mặt đất qua các thiết bị như đài, ra-đa hay hệ thống đèn và cung cấp thông tin cần thiết cho hoạt động của phương tiện bay.",• Đài chỉ huy các sân bay dân sự và quân sự • Trung tâm kiểm soát không lưu và tiếp cận đường dài,0,1,1,"[3.75, 4.38,  4.0, 3.88, 4.12, 1.25, 1.25,  1.0, 3.12, 4.12, 3.12, 1.75, 1.75, 
 2.88, 2.88,  4.0, 2.62,  2.5, 2.75, 3.25, 2.88, 1.75, 2.75, 3.75, 1.12, 1.75, 
 3.12, 3.38, 4.25, 3.25, 3.12, 1.75,  3.5,  2.0, 3.12]",53-2021.00,4
95,Kĩ thuật viên phòng xét nghiệm,Laboratory Technician,Chăm sóc sức khỏe,"Kĩ thuật viên phòng xét nghiệm trong các bệnh viện, cơ sở y tế, pháp y, còn gọi là kĩ thuật viên phòng thí nghiệm y tế, tiến hành các xét nghiệm sinh hóa, kiểm tra bằng kính hiển vi và soi vi khuẩn trong phòng thí nghiệm để kiểm tra máu, mô và các chất dịch của bệnh nhân, tử thi để tìm ra nguyên nhân gây bệnh hoặc tử vong.","• Các phòng thí nghiệm • Các bệnh viện, trung tâm y tế, cơ sở chăm sóc sức khỏe • Các trung tâm nghiên cứu • Nhà xác • Bộ phận pháp y của công an",0,0,0,"[ 3.0, 3.88, 3.12,  3.0, 3.38, 2.75, 2.62, 1.25, 3.12,  3.0, 2.88,  2.0,  2.0,
 2.88, 2.75, 3.12, 2.62, 2.88, 2.12, 3.12,  2.5, 1.88, 3.12,  3.5,  2.5, 3.25,
  3.0,  3.0, 3.38, 2.75, 2.25,  2.0, 3.12, 2.75, 3.12]",29-2012.00,0
96,Kĩ thuật viên y tế: kĩ thuật viên và phụ tá nha khoa,Dental Assistant and Therapist,Chăm sóc sức khỏe,"Kĩ thuật viên và phụ tá nha khoa trợ giúp cho bác sĩ nha khoa trong tư vấn, chẩn đoán, phòng và chữa bệnh về răng miệng. Về mặt phạm vi và độ phức tạp thì hạn chế hơn so với các nhiệm vụ mà một bác sĩ nha khoa thực hiện.","• Bệnh viện • Phòng khám nha khoa, răng hàm mặt • Các cơ sở kĩ thuật phục hình răng",0,0,0,"[3.12, 3.88,  3.0, 2.88,  3.0, 1.88,  2.0,  1.0, 3.12, 2.88,  2.5, 1.75, 2.12, 
 2.25, 2.12, 3.12,  2.5, 2.12, 1.75, 2.62,  2.5, 1.38,  2.5, 3.25, 1.88,  2.0, 
 3.12, 3.12, 3.38, 2.38, 2.12, 1.75, 2.75,  2.0,  3.0]",31-9091.00,0
97,Kĩ thuật viên kĩ thuật viễn thông,Telecommunications Technicians,Máy tính và Công nghệ thông tin,"Kĩ thuật viên kĩ thuật viễn thông thực hiện các công việc về kĩ thuật liên quan tới nghiên cứu kĩ thuật viễn thông, thiết kế, sản xuất, lắp ráp, xây dựng, vận hành, duy tu và sửa chữa các hệ thống viễn thông",• Các công ty viễn thông Nhà nước và tư nhân • Các công ty dịch vụ điện thoại di động • Các doanh nghiệp vận tải hàng hải • Các doanh nghiệp vận tải hàng không • Các cơ quan quản lí Nhà nước về bưu chính viễn thông,0,1,0,"[2.94, 3.25, 3.25,  3.0, 3.37, 3.25, 2.68, 2.82,  2.5, 3.12, 2.56, 1.75, 1.75,
 2.25, 2.12, 3.19, 2.31, 3.12, 1.88, 3.37, 2.44, 1.81, 3.25, 3.13, 3.38, 1.88,
 2.82, 2.94, 3.18, 2.75, 2.56, 1.88, 2.94, 3.44, 2.81]",49-2022.00,3
98,Cảnh sát cứu hỏa,Firefighters,,"Cảnh sát cứu hoả thực hiện công việc ngăn chặn, phòng chống hỏa hạn và dập tắt đám cháy. Họ cũng có nhiệm vụ giải cứu những người bị mắc kẹt trong hỏa hoạn, cứu hàng hoá, tài sản trong và sau hoả hoạn hoặc tai nạn nghiêm trọng.","• Lực lượng cảnh sát cứu hỏa • Lục quân, hải quân và không quân • Các cơ quan quản lí phòng chống cháy nổ • Bộ phận an toàn cháy nổ của các cơ quan, doanh nghiệp • Bộ phận cứu hỏa của các sân bay, cảng biển, khu công nghiệp • Các doanh nghiệp vận chuyển các vật liệu dễ cháy",1,2,0,"[ 3.5,  3.5, 3.25, 3.62, 3.88, 2.88, 2.88, 1.38,  3.0, 3.62, 2.88, 1.75, 2.12, 
 2.38, 2.62,  3.5, 2.62, 3.25, 1.38, 3.25, 2.88,  1.5, 2.88, 3.12, 2.25,  2.0, 
 3.62, 3.38,  3.5, 2.88, 2.88, 1.75, 3.12, 2.62, 2.88]",33-2011.01,12
99,Chuyên viên thẩm định rủi ro,Actuary,Toán và Thống kê,"Chuyên gia tính toán áp dụng các kỹ năng phân tích, như toán học, thống kê và lý thuyết tài chính, để định lượng rủi ro và hậu quả tài chính. Chuyên gia tính toán làm việc để đánh giá khả năng xảy ra các sự kiện trong tương lai và sau đó giảm thiểu rủi ro liên quan đến chúng. Phần lớn các chuyên viên thẩm định rủi ro làm việc cho các công ty bảo hiểm như chuyên viên thẩm định rủi ro bảo hiểm tài sản và thương vong, chuyên viên thẩm định rủi ro trợ cấp hưu trí, chuyên viên thẩm định rủi ro bảo hiểm nhân thọ và tai nạn, chuyên viên thẩm định rủi ro bảo hiểm y tế và chuyên viên thẩm định rủi ro rủi ro doanh nghiệp",,2,2,2,"[3.38, 4.0, 4.0, 3.0, 4.25, 1.0, 1.0, 1.0, 3.0, 4.25, 3.0, 2.62, 2.12, 2.75, 4.25, 3.12, 3.0, 1.0, 3.25, 1.88, 3.0, 2.5, 2.0, 4.12, 1.0, 2.12, 2.88, 2.88, 3.88, 3.88, 4.0, 1.75, 3.12, 1.0, 3.38]",15-2011.00,22
100,Bác sĩ châm cứu,Acupuncturists,Chăm sóc sức khỏe,"Các nhà châm cứu là những người thực hành y học thay thế, những người áp dụng các công cụ vào các điểm châm cứu trên cơ thể để điều chỉnh sự mất cân bằng. Các nhà châm cứu làm việc với bệnh nhân để chẩn đoán bệnh của họ bằng cách lấy tiền sử và các triệu chứng của họ, xây dựng kế hoạch điều trị và trả lời các mối quan tâm và thắc mắc. Khi một kế hoạch điều trị đã được thống nhất sẵn sàng, các nhà châm cứu sử dụng các công cụ bao gồm kim, cốc và viên để điều trị các triệu chứng của họ.",,2,1,0,"[3.12, 3.88, 3.12, 3.0, 3.75, 1.0, 1.5, 1.0, 2.75, 3.5, 2.62, 1.5, 1.62, 2.12, 2.0, 3.25, 2.25, 1.75, 1.75, 2.0, 2.62, 1.25, 2.0, 3.38, 1.0, 2.5, 3.62, 3.75, 3.5, 2.88, 2.88, 1.5, 3.0, 1.75, 3.12]",29-1291.00,17
101,Phát thanh viên,Announcer,Báo chí – Thông tin – Truyền thông,"Phát thanh viên trên đài phát thanh, truyền hình và các phương tiện truyền thông khác là người đọc bản tin, phỏng vấn, hướng dẫn và thực hiện các thông báo khác hoặc thực hiện các chỉ dẫn trên đài phát thanh, truyền hình, trong rạp chiếu phim và các cơ sở khác",• Các đài phát thanh và các đài truyền hình • Các doanh nghiệp tổ chức sự kiện • Các nhà hát và đơn vị cung cấp địa điểm tổ chức các buổi biểu diễn cho công chúng,2,1,1,"[3.25, 4.0, 3.0, 3.0, 3.75, 1.62, 1.62, 1.0, 2.38, 3.25, 2.12, 1.5, 1.5, 2.12, 1.88, 3.25, 2.88, 2.25, 2.0, 2.25, 2.88, 1.25, 2.12, 4.0, 1.62, 1.0, 3.0, 3.5, 4.62, 2.12, 2.12, 1.38, 3.38, 1.62, 3.25]",27-3011.00,18
102,Giám đốc nghệ thuật,Art Director,Năng khiếu nghệ thuật,"Giám đốc nghệ thuật chịu trách nhiệm giám sát việc chăm sóc các tác phẩm nghệ thuật có giá trị trong bộ sưu tập. Vai trò này cũng yêu cầu nhân viên quản lý đảm bảo chăm sóc thích hợp cho các tác phẩm nghệ thuật khác nhau, cũng như đảm bảo tồn tại các nguyên tắc nghiêm ngặt giúp xác định cách xử lý từng tác phẩm nghệ thuật. Giám đốc nghệ thuật thường xuyên lên kế hoạch và tổ chức các cuộc triển lãm mới, đồng thời làm việc để mua tác phẩm nghệ thuật mới để trưng bày trong bảo tàng, phòng trưng bày nghệ thuật hoặc không gian công cộng và riêng tư. Sự thăng tiến vào vị trí này thường sau nhiều năm phục vụ thành công trong phòng trưng bày nghệ thuật hoặc bảo tàng, cũng như thông qua công việc đã được chứng minh trong nghệ thuật và lịch sử nghệ thuật.",,1,1,1,"[3.38, 4.0, 3.75, 3.62, 3.75, 1.75, 1.75, 1.0, 3.0, 3.88, 3.0, 3.0, 2.62, 3.38, 2.38, 3.25, 3.0, 1.12, 3.0, 1.88, 3.38, 1.62, 2.5, 3.75, 1.75, 1.38, 3.0, 3.38, 4.0, 3.0, 2.88, 1.75, 3.88, 1.88, 3.25]",27-1011.00,10
103,Thanh tra hàng không,Aviation Inspector,Kiến trúc và xây dựng,,,0,0,2,"[3.12, 3.88, 3.38, 2.88, 4.0, 2.88, 2.75, 1.0, 2.88, 3.25, 2.88, 1.5, 1.75, 2.75, 2.25, 3.38, 2.88, 3.0, 2.62, 3.75, 2.88, 1.38, 3.75, 3.88, 2.88, 2.88, 3.0, 3.0, 3.88, 3.0, 2.88, 1.62, 3.25, 3.25, 3.62]",53-6051.01,2
104,Nhà hóa sinh,Biochemist,Khoa học sự sống,"Nhà hóa sinh là một nhà khoa học chuyên về sinh học và các sinh vật khác nhau phản ứng với hóa học. Mặc dù Nhà hóa sinh có thể làm việc độc lập, nhưng Nhà hóa sinh thường được các tập đoàn hoặc tổ chức tuyển dụng để xác định tác động hoặc lợi ích của các hóa chất khác nhau đối với sinh học. Nhà hóa sinh thường sẽ thiết kế và thực hiện các thí nghiệm phù hợp với tiêu chuẩn của cộng đồng khoa học để khám phá các lựa chọn cho các sản phẩm hữu ích mới.",,2,1,2,"[4.12, 4.12, 4.12, 3.0, 4.25, 1.88, 2.25, 1.12, 3.62, 4.0, 4.0, 1.88, 2.0, 3.0, 3.88, 3.88, 2.5, 2.12, 3.12, 2.75, 3.0, 2.25, 3.0, 4.38, 1.75, 4.75, 2.5, 3.0, 4.12, 3.38, 3.12, 2.12, 2.88, 1.88, 4.25]",19-1021.00,19
105,Kĩ thuật viên công nghệ sinh học,Biological Technicians,Khoa học sự sống,"Kĩ sư công nghệ sinh học áp dụng các nguyên tắc sinh học ở cấp độ “công nghiệp” để kiểm soát, cải tiến và quản lí các quá trình biến đổi về mặt sinh học tồn tại trong tự nhiên như sự lên men, quá trình sản xuất chất xúc tác enzyme nhằm nâng cao lợi ích cho con người bằng nhiều cách khác nhau. Công nghệ sinh học có nhiều ứng dụng trong các lĩnh vực chăm sóc sức khoẻ, nông nghiệp, quản lí môi trường và bào chế thuốc","• Làm việc trong các phòng nghiên cứu thí nghiệm của Nhà nước và tư nhân • Làm việc trong các doanh nghiệp bào chế thuốc và dược phẩm, sản xuất chất hoá học, nông nghiệp và các ngành liên quan • Làm việc trong các tổ chức giáo dục liên quan tới giảng dạy và nghiên cứu",0,0,1,"[3.5, 3.75, 3.25, 2.75, 3.88, 2.12, 1.88, 1.0, 2.38, 3.12, 2.88, 1.88, 2.25, 2.12, 3.0, 3.25, 1.88, 2.62, 1.88, 3.0, 2.0, 1.88, 2.88, 4.0, 1.75, 3.75, 2.25, 2.75, 3.25, 3.0, 2.75, 1.88, 2.88, 2.62, 3.38]",19-4021.00,1
106,Nhà sinh học,Biologist,Khoa học sự sống,"nhà sinh vật học là một nhà khoa học nghiên cứu các dạng sống khác nhau từ khắp nơi trên thế giới. Các nhà sinh học có thể làm việc cho vô số tổ chức và tập đoàn khác nhau, một số làm việc độc lập. Vai trò điển hình của Nhà sinh vật học trong một tổ chức hoặc công ty là nghiên cứu, lập danh mục, quan sát hoặc phân tích các quá trình và hành vi khác nhau của các loài động vật hoặc sinh vật cụ thể để hiểu rõ nhất và sử dụng chúng vì mục đích cải thiện xã hội.",,1,0,2,"[3.88, 4.0, 3.88, 3.12, 4.0, 1.0, 1.25, 1.0, 3.25, 3.62, 3.12, 1.75, 1.88, 3.12, 3.75, 3.38, 2.62, 1.62, 1.75, 2.25, 2.75, 2.75, 2.5, 4.0, 1.0, 4.62, 2.62, 3.25, 4.0, 3.12, 3.0, 1.75, 3.0, 1.75, 4.0]",19-1029.04,8
107,Nhà thống kê sinh học,Biostatistician,Toán và Thống kê,"Các nhà thống kê sinh học áp dụng toán học, thống kê và dữ liệu cho khoa học sinh học. Họ thu thập, phân tích và tóm tắt dữ liệu trong quá trình nghiên cứu của mình để đưa ra kết luận về các chủ đề bao gồm y học và nông nghiệp. Họ phân tích và nghiên cứu các yếu tố xác định có ảnh hưởng đến sức khỏe và hạnh phúc của các sinh vật sống bao gồm con người, thực vật và động vật.",,2,2,2,"[4.0, 3.88, 4.0, 3.0, 4.0, 1.0, 1.5, 1.0, 3.12, 4.0, 3.38, 1.75, 1.75, 2.75, 4.62, 3.0, 2.0, 1.12, 3.0, 1.62, 2.75, 3.38, 1.75, 4.0, 1.0, 4.0, 2.75, 2.88, 4.0, 3.12, 3.12, 1.62, 3.0, 1.0, 3.88]",15-2041.01,22
108,Nhà phân tích ngân sách,Budget Analyst,Kinh doanh và Quản lý,"Các nhà phân tích ngân sách làm việc trên nhiều nhà tuyển dụng. Họ có thể được tìm thấy tư vấn cho các tổ chức giáo dục, các tổ chức chính phủ và khu vực tư nhân. Vai trò chính của họ là thu thập và giải thích dữ liệu để hiểu rõ hơn về tình hình tài chính hiện tại của khách hàng. Với thông tin này, khách hàng sau đó có thể lập kế hoạch hành động để điều chỉnh các xu hướng đi xuống hoặc duy trì sự tăng trưởng trong công ty của họ",,2,1,1,"[3.25, 4.0, 3.62, 3.0, 3.75, 1.0, 1.0, 1.0, 2.88, 3.5, 2.88, 3.12, 2.25, 2.75, 3.75, 3.12, 2.5, 1.0, 2.62, 1.88, 2.5, 1.88, 1.25, 3.88, 1.0, 1.25, 2.88, 3.0, 3.75, 3.12, 2.88, 1.75, 3.0, 1.0, 3.25]",13-2031.00,18
109,Thanh tra xây dựng,Building Inspector,Kiến trúc và xây dựng,,,0,0,0,"[3.12, 3.88, 3.62, 3.0, 3.75, 1.0, 1.0, 1.0, 3.0, 3.25, 3.0, 1.38, 1.5, 2.75, 3.0, 3.0, 3.0, 2.0, 2.12, 2.75, 3.0, 1.62, 3.0, 3.88, 1.0, 2.62, 2.88, 3.0, 3.88, 3.0, 3.12, 1.88, 3.12, 2.0, 3.0]",47-4011.00,0
110,Nhà hoạch định kinh doanh,Business Continuity Planner,Kinh doanh và Quản lý,"Các nhà hoạch định kinh doanh đóng vai trò chính trong quy trình lập kế hoạch chiến lược cho khách hàng hoặc tổ chức. Họ lập kế hoạch, phát triển và thực hiện các chiến lược cho tất cả các khía cạnh của hoạt động kinh doanh, bao gồm lập ngân sách, quản trị, sản xuất, nhân sự, bán hàng và hậu cần. Họ tập trung mạnh vào tăng trưởng dài hạn và xác định các chiến thuật và thực tiễn để đạt được những mục tiêu đó. Họ cũng thiết lập các điểm chuẩn và số liệu để đánh giá tiến độ và đo lường thành công. Những người lập kế hoạch này làm việc chặt chẽ với các bên liên quan trong toàn tổ chức.",,2,1,1,"[3.75, 3.75, 4.0, 3.62, 3.88, 1.0, 1.25, 1.0, 3.12, 4.0, 3.12, 2.75, 2.75, 3.0, 2.75, 3.5, 3.12, 1.12, 2.75, 2.0, 3.12, 2.0, 2.38, 3.88, 1.0, 1.12, 3.38, 3.38, 4.0, 3.88, 3.62, 1.88, 3.38, 1.5, 3.88]",13-1199.04,18
111,Nhà phân tích nghiệp vụ thông minh,Business Intelligence Analyst,Toán và Thống kê,"Các nhà phân tích BI thu thập và nghiên cứu dữ liệu kinh doanh thông minh, sử dụng thông tin này để phát triển hiểu biết sâu sắc về đối thủ cạnh tranh và thị trường. Họ gặp gỡ khách hàng hoặc các bên liên quan để xác định thông tin nào là cần thiết và thông tin đó sẽ được sử dụng như thế nào, xây dựng kế hoạch thu thập dữ liệu và biên soạn các báo cáo làm nổi bật các kết luận hoặc các điểm đáng quan tâm. Các nhà phân tích này sử dụng nhiều chương trình phần mềm BI và các công cụ khác, đồng thời cũng có thể sử dụng các chiến thuật nghiên cứu bổ sung như nhóm tập trung hoặc phỏng vấn.",,2,2,1,"[3.88, 4.0, 3.5, 3.0, 3.88, 1.0, 1.0, 1.0, 4.12, 3.38, 4.0, 1.62, 1.62, 2.62, 3.0, 3.62, 2.75, 1.12, 2.25, 1.5, 2.88, 1.88, 1.5, 4.0, 1.0, 1.88, 2.75, 3.25, 4.25, 3.12, 3.12, 1.62, 3.25, 1.0, 4.0]",15-2051.01,21
